Component,Origin,License,Copyright
Bazel rules_go fork,https://github.com/bazel-contrib/rules_go.git,Apache-2.0,"The Bazel Authors and rules_go contributors"
Bazel module abseil-cpp,https://github.com/abseil/abseil-cpp,Apache-2.0,"The Abseil Authors"
Bazel module aspect_bazel_lib,https://github.com/aspect-build/bazel-lib,Apache-2.0,"Aspect Build and contributors"
Bazel module aspect_rules_js,https://github.com/aspect-build/rules_js,Apache-2.0,"Aspect Build and contributors"
Bazel module aspect_tools_telemetry,https://github.com/aspect-build/tools_telemetry,Apache-2.0,"Aspect Build and contributors"
Bazel module bazel_features,https://github.com/bazel-contrib/bazel_features,Apache-2.0,"bazel_features contributors"
Bazel module bazel_lib,https://github.com/bazel-contrib/bazel-lib,Apache-2.0,"bazel-lib contributors"
Bazel module bazel_skylib,https://github.com/bazelbuild/bazel-skylib,Apache-2.0,"The Bazel Authors"
Bazel module buildozer,https://github.com/bazelbuild/buildtools,MIT,"The Bazel Authors"
Bazel module gazelle,https://github.com/bazel-contrib/bazel-gazelle,Apache-2.0,"The Bazel Authors and Gazelle contributors"
Bazel module jq.bzl,https://github.com/aspect-build/jq.bzl,Apache-2.0,"Aspect Build and contributors"
Bazel module jsoncpp,https://github.com/open-source-parsers/jsoncpp,MIT,"JsonCpp contributors"
Bazel module package_metadata,https://github.com/bazel-contrib/package_metadata,Apache-2.0,"package_metadata contributors"
Bazel module platforms,https://github.com/bazelbuild/platforms,Apache-2.0,"The Bazel Authors"
Bazel module protobuf,https://github.com/protocolbuffers/protobuf,BSD-3-Clause,"Google LLC and Protocol Buffers contributors"
Bazel module pybind11_bazel,https://github.com/pybind/pybind11_bazel,BSD-3-Clause,"The Pybind Development Team"
Bazel module re2,https://github.com/google/re2,BSD-3-Clause,"Google LLC and RE2 contributors"
Bazel module rules_android,https://github.com/bazelbuild/rules_android,Apache-2.0,"The Bazel Authors"
Bazel module rules_cc,https://github.com/bazelbuild/rules_cc,Apache-2.0,"The Bazel Authors"
Bazel module rules_dotnet,https://github.com/bazel-contrib/rules_dotnet,Apache-2.0,"rules_dotnet contributors"
Bazel module rules_fuzzing,https://github.com/bazelbuild/rules_fuzzing,Apache-2.0,"The Bazel Authors"
Bazel module rules_go,https://github.com/bazel-contrib/rules_go,Apache-2.0,"The Bazel Authors and rules_go contributors"
Bazel module rules_java,https://github.com/bazelbuild/rules_java,Apache-2.0,"The Bazel Authors"
Bazel module rules_jvm_external,https://github.com/bazel-contrib/rules_jvm_external,Apache-2.0,"The Bazel Authors and rules_jvm_external contributors"
Bazel module rules_kotlin,https://github.com/bazelbuild/rules_kotlin,Apache-2.0,"The Bazel Authors"
Bazel module rules_license,https://github.com/bazelbuild/rules_license,Apache-2.0,"The Bazel Authors"
Bazel module rules_nodejs,https://github.com/bazel-contrib/rules_nodejs,Apache-2.0,"rules_nodejs contributors"
Bazel module rules_pkg,https://github.com/bazelbuild/rules_pkg,Apache-2.0,"The Bazel Authors"
Bazel module rules_proto,https://github.com/bazelbuild/rules_proto,Apache-2.0,"The Bazel Authors"
Bazel module rules_python,https://github.com/bazelbuild/rules_python,Apache-2.0,"The Bazel Authors"
Bazel module rules_ruby,https://github.com/bazel-contrib/rules_ruby,Apache-2.0,"rules_ruby contributors"
Bazel module rules_shell,https://github.com/bazelbuild/rules_shell,Apache-2.0,"The Bazel Authors"
Bazel module stardoc,https://github.com/bazelbuild/stardoc,Apache-2.0,"The Bazel Authors"
Bazel module tar.bzl,https://github.com/bazel-contrib/tar.bzl,Apache-2.0,"tar.bzl contributors"
Bazel module yq.bzl,https://github.com/aspect-build/yq.bzl,Apache-2.0,"Aspect Build and contributors"
Bazel module zlib,https://github.com/madler/zlib,Zlib,"Jean-loup Gailly and Mark Adler"
Go module github.com/antithesishq/antithesis-sdk-go,https://github.com/antithesishq/antithesis-sdk-go,Apache-2.0,"Antithesis SDK for Go contributors"
Go module github.com/cenkalti/backoff,https://github.com/cenkalti/backoff,MIT,"Cenk Alti and backoff contributors"
Go module github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify,BSD-3-Clause,"The fsnotify Authors"
Go module github.com/google/go-tpm,https://github.com/google/go-tpm,Apache-2.0,"Google LLC and go-tpm contributors"
Go module github.com/nats-io/nats-server,https://github.com/nats-io/nats-server,Apache-2.0,"The NATS Authors"
Go module github.com/nats-io/nats.go,https://github.com/nats-io/nats.go,Apache-2.0,"The NATS Authors"
Go module github.com/stretchr/testify,https://github.com/stretchr/testify,MIT,"Testify contributors"
Python package bytecode,https://github.com/vstinner/bytecode,MIT,"Victor Stinner and bytecode contributors"
Python package exceptiongroup,https://github.com/agronholm/exceptiongroup,MIT,"Alex Gronholm and exceptiongroup contributors"
Python package iniconfig,https://github.com/pytest-dev/iniconfig,MIT,"iniconfig contributors"
Python package packaging,https://github.com/pypa/packaging,Apache-2.0 OR BSD-2-Clause,"Python Packaging Authority and packaging contributors"
Python package pluggy,https://github.com/pytest-dev/pluggy,MIT,"pluggy contributors"
Python package pygments,https://github.com/pygments/pygments,BSD-2-Clause,"Pygments contributors"
Python package pytest,https://github.com/pytest-dev/pytest,MIT,"Holger Krekel and pytest contributors"
Python package PyYAML,https://github.com/yaml/pyyaml,MIT,"Kirill Simonov and PyYAML contributors"
Python package tomli,https://github.com/hukkin/tomli,MIT,"Taneli Hukkinen and tomli contributors"
Python package typing-extensions,https://github.com/python/typing_extensions,Python-2.0,"Python Software Foundation"
Python package zipp,https://github.com/jaraco/zipp,MIT,"Jason R. Coombs and zipp contributors"
